Problem Number,Problem Name,Difficulty,Top 75,Top 150,DB 50,Database
182,Duplicate Emails,Easy,N,N,N,Y
183,Customers Who Never Order,Easy,N,N,N,Y
184,Department Highest Salary,Medium,N,N,N,Y
185,Department Top Three Salaries,Hard,N,N,Y,Y
187,Repeated DNA Sequences,Medium,N,N,N,N
188,Best Time To Buy And Sell Stock IV,Hard,N,Y,N,N
189,Rotate Array,Medium,N,Y,N,N
190,Reverse Bits,Easy,N,Y,N,N
191,Number Of 1 Bits,Easy,N,Y,N,N
196,Delete Duplicate Emails,Easy,N,N,Y,Y
197,Rising Temperature,Easy,N,N,Y,Y
198,House Robber,Medium,Y,Y,N,N
199,Binary Tree Right Side View,Medium,Y,Y,N,N
200,Number of Islands,Medium,N,Y,N,N
201,Bitwise And Of Numbers Range,Medium,N,Y,N,N
202,Happy Number,Easy,N,Y,N,N
203,Remove Linked List Elements,Easy,N,N,N,N
204,Count Primes,Medium,N,N,N,N
205,Isomorphic Strings,Easy,N,Y,N,N
206,Reverse Linked List,Easy,Y,N,N,N
207,Course Schedule,Medium,N,Y,N,N
208,Implement Trie (Prefix Tree),Medium,Y,Y,N,N
209,Minimum Size Subarray Sum,Medium,N,Y,N,N
210,Course Schedule II,Medium,N,Y,N,N
211,Design Add And Search Words Data Structure,Medium,N,Y,N,N
212,Word Search II,Hard,N,Y,N,N
213,House Robber II,Medium,N,N,N,N
214,Shortest Palindrome,Hard,N,N,N,N
215,Kth Largest Element In An Array,Medium,Y,Y,N,N
216,Combination Sum III,Medium,Y,N,N,N
217,Contains Duplicate,Easy,N,N,N,N
219,Contains Duplicate II,Easy,N,Y,N,N
220,Contains Duplicate III,Medium,N,N,N,N
221,Maximal Square,Medium,N,Y,N,N
222,Count Complete Tree Nodes,Medium,N,Y,N,N
223,Rectangle Area,Medium,N,N,N,N
224,Basic Calculator,Hard,N,Y,N,N
225,Implement Stack Using Queues,Easy,N,N,N,N
226,Invert Binary Tree,Easy,N,Y,N,N
227,Basic Calculator II,Medium,N,N,N,N
228,Summary Ranges,Easy,N,Y,N,N
229,Majority Element II,Medium,N,N,N,N
230,Kth Smallest Element In A BST,Medium,N,Y,N,N
231,Power Of Two,Easy,N,N,N,N
232,Implement Queue Using Stacks,Easy,N,N,N,N
233,Number Of Digit One,Hard,N,N,N,N
234,Palindrome Linked List,Easy,N,N,N,N
235,Lowest Common Ancestor Of A Binary Search Tree,Easy,N,N,N,N
236,Lowest Common Ancestor Of A Binary Tree,Medium,Y,Y,N,N
237,Delete Node In A Linked List,Medium,N,N,N,N
238,Product Of Array Except Self,Medium,Y,Y,N,N
239,Sliding Window Maximum,Hard,N,N,N,N
240,Search A 2D Matrix II,Medium,N,N,N,N
241,Different Ways To Add Parentheses,Medium,N,N,N,N
242,Valid Anagram,Easy,N,Y,N,N
257,Binary Tree Paths,Easy,N,N,N,N
258,Add Digits,Easy,N,N,N,N
260,Single Number Iii,Medium,N,N,N,N
262,Trips And Users,Hard,N,N,N,Y
263,Ugly Number,Easy,N,N,N,N
264,Ugly Number II,Medium,N,N,N,N
268,Missing Number,Easy,N,N,N,N
273,Integer To English Words,Hard,N,N,N,N
274,H-Index,Medium,N,Y,N,N
275,H-Index II,Medium,N,N,N,N
